First Name,Last Name,Gender,VJV,Position,Discipline,School,email,Active
John,Smith,M,V,S1,Recurve,WDV,john.smith@example.com,active
Sarah,Johnson,F,V,S1,Compound,WDV,sarah.j@example.com,active
Mike,Williams,M,V,S2,Recurve,WDV,mike.w@example.com,active
Emily,Brown,F,V,S2,Compound,WDV,emily.b@example.com,active
Chris,Davis,M,V,T1,Recurve,WDV,chris.d@example.com,active
Jessica,Martinez,F,JV,S1,Recurve,WDV,jess.m@example.com,active
Tom,Anderson,M,JV,S2,Compound,WDV,tom.a@example.com,active
Lisa,Taylor,F,JV,T1,Recurve,WDV,lisa.t@example.com,active
Alex,Thomas,M,V,S3,Barebow,BHS,alex.t@example.com,active
Morgan,White,F,V,S3,Recurve,BHS,morgan.w@example.com,active
